tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,delayed,actual_delay_days
TRK-829988,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,11,379,2507.54,0.81,0.16,0,0.0
TRK-745584,Rotterdam (NL),Port of Oakland (US),DHL Express,6,1251,2203.05,0.82,0.94,1,4.5
TRK-354235,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,20,1479,4605.72,0.8,0.6,1,6.8
TRK-336633,Rotterdam (NL),Port of Long Beach (US),Maersk Line,27,579,4153.57,0.88,0.34,1,6.6
TRK-205065,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,11,2114,3138.73,0.86,0.8,1,3.8
TRK-205428,Rotterdam (NL),Port of Long Beach (US),Maersk Line,18,1923,6788.63,0.46,0.5,0,0.0
TRK-677086,Ningbo-Zhoushan (CN),Port of Seattle (US),OceanNet Logistics,9,2256,4489.25,0.31,0.32,0,0.0
TRK-600641,Rotterdam (NL),Port of Long Beach (US),FedEx Supply Chain,15,964,2828.03,0.55,0.18,0,0.0
TRK-436768,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,34,899,10241.19,0.56,0.51,1,7.4
TRK-906066,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,29,2085,7007.52,0.27,0.14,0,0.0
TRK-343500,Yokohama (JP),Port of Vancouver (CA),Maersk Line,24,1978,6712.92,0.93,0.41,1,6.2
TRK-283568,Shenzhen Port (CN),Port of Long Beach (US),Maersk Line,20,1681,4585.03,0.48,0.34,0,0.0
TRK-976822,Shenzhen Port (CN),Port of Seattle (US),DHL Express,6,951,1876.71,0.17,0.62,0,0.0
TRK-885386,Singapore (SG),Port of New York (US),Maersk Line,7,1598,2062.37,0.28,0.77,0,0.0
TRK-109717,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,23,270,2969.91,0.31,0.45,0,0.0
TRK-212512,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,25,1166,4011.08,0.92,0.15,1,6.9
TRK-772464,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,15,1023,4370.11,0.8,0.93,1,5.8
TRK-240718,Singapore (SG),Port of Oakland (US),OceanNet Logistics,27,1902,8410.59,0.09,0.5,0,0.0
TRK-386090,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,10,1041,3096.95,0.19,0.93,0,0.0
TRK-270387,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,12,1566,3749.14,0.12,0.87,0,0.0
TRK-853504,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,8,2044,3817.27,0.35,0.9,1,3.8
TRK-929179,Hamburg Port (DE),Port of Oakland (US),DHL Express,25,699,7689.12,0.8,0.32,1,8.4
TRK-284019,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,8,1198,3184.08,0.33,0.38,0,0.0
TRK-967161,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,13,890,3257.2,0.36,0.78,1,4.4
TRK-190951,Shenzhen Port (CN),Port of Vancouver (CA),Maersk Line,5,2481,1763.71,0.15,0.15,0,0.0
TRK-293757,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,24,784,6553.53,0.42,0.4,0,0.0
TRK-360096,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,19,343,3879.46,0.42,0.71,1,4.4
TRK-346961,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,21,1292,3946.47,0.52,0.15,0,0.0
TRK-416613,Yokohama (JP),Port of Vancouver (CA),Global Freight Air,31,919,5015.55,0.66,0.08,1,7.3
TRK-111991,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,26,829,3671.08,0.38,0.14,0,0.0
TRK-826420,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,12,1019,3509.44,0.12,0.56,0,0.0
TRK-588002,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,18,476,3311.63,0.18,0.19,0,0.0
TRK-819400,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,31,2407,8324.04,0.34,0.47,0,0.0
TRK-823821,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,13,1401,3855.49,0.8,0.76,1,4.5
TRK-485397,Yokohama (JP),Port of Long Beach (US),DHL Express,11,2400,3743.74,0.92,0.21,1,5.0
TRK-240057,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,12,118,2642.21,0.89,0.66,1,4.9
TRK-884056,Yokohama (JP),Port of New York (US),OceanNet Logistics,9,1647,3010.78,0.93,0.13,1,4.8
TRK-836038,Yokohama (JP),Port of Seattle (US),Global Freight Air,5,846,1269.62,0.63,0.39,0,0.0
TRK-940952,Rotterdam (NL),Port of Long Beach (US),DHL Express,26,373,7179.67,0.39,0.24,0,0.0
TRK-813390,Singapore (SG),Port of Oakland (US),Maersk Line,5,679,1109.96,0.5,0.11,0,0.0
TRK-651033,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,6,482,1882.67,0.59,0.42,0,0.0
TRK-181896,Yokohama (JP),Port of Los Angeles (US),Maersk Line,20,1986,5853.71,0.25,0.61,0,0.0
TRK-969032,Yokohama (JP),Port of Oakland (US),DHL Express,13,1053,2132.09,0.59,0.74,1,4.9
TRK-700521,Yokohama (JP),Port of Long Beach (US),DHL Express,14,989,2992.22,0.2,0.22,0,0.0
TRK-444056,Singapore (SG),Port of Oakland (US),OceanNet Logistics,32,128,4180.91,0.41,0.51,1,7.5
TRK-221886,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,12,2269,3291.45,0.11,0.11,0,0.0
TRK-612573,Shanghai Port (CN),Port of Oakland (US),OceanNet Logistics,27,1456,5851.66,0.28,0.15,0,0.0
TRK-947975,Shanghai Port (CN),Port of Seattle (US),DHL Express,11,2162,4905.36,0.86,0.52,1,4.4
TRK-638179,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,14,1614,4004.53,0.46,0.89,1,6.4
TRK-160541,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,32,1789,9057.86,0.2,0.1,0,0.0
TRK-858414,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,10,2130,3282.36,0.89,0.13,1,3.3
TRK-956113,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,31,1442,8182.35,0.42,0.49,1,7.0
TRK-706403,Shanghai Port (CN),Port of Los Angeles (US),OceanNet Logistics,24,913,4124.74,0.92,0.54,1,9.1
TRK-461264,Rotterdam (NL),Port of Los Angeles (US),Global Freight Air,11,247,2827.38,0.66,0.54,1,4.2
TRK-163182,Shanghai Port (CN),Port of Seattle (US),Maersk Line,16,594,3922.16,0.63,0.81,1,5.1
TRK-401036,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,30,1137,5859.8,0.41,0.42,1,8.3
TRK-903028,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,27,1973,6430.2,0.71,0.38,1,7.3
TRK-492650,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,24,2400,7568.83,0.85,0.64,1,7.6
TRK-493892,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,10,1466,2453.01,0.62,0.74,1,5.7
TRK-239449,Rotterdam (NL),Port of New York (US),Maersk Line,12,2383,4786.59,0.44,0.16,0,0.0
TRK-287143,Yokohama (JP),Port of Seattle (US),Global Freight Air,13,2212,3487.57,0.71,0.68,1,5.2
TRK-233533,Rotterdam (NL),Port of Long Beach (US),Maersk Line,17,590,3046.73,0.64,0.23,0,0.0
TRK-892911,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,31,912,4485.6,0.79,0.28,1,8.1
TRK-806215,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,20,2487,5731.84,0.72,0.42,1,5.0
TRK-657772,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,12,2259,3130.65,0.34,0.87,1,3.0
TRK-583000,Hamburg Port (DE),Port of Long Beach (US),FedEx Supply Chain,32,2085,4965.17,0.5,0.31,1,7.9
TRK-297636,Rotterdam (NL),Port of Los Angeles (US),Maersk Line,17,1198,5565.9,0.21,0.47,0,0.0
TRK-948799,Rotterdam (NL),Port of Seattle (US),Global Freight Air,28,1654,7223.02,0.42,0.52,1,8.0
TRK-903265,Shanghai Port (CN),Port of Long Beach (US),DHL Express,8,252,2131.33,0.57,0.85,1,4.2
TRK-170559,Shanghai Port (CN),Port of Oakland (US),Maersk Line,23,2042,6863.51,0.87,0.56,1,6.4
TRK-568127,Yokohama (JP),Port of Vancouver (CA),Maersk Line,6,1971,1821.68,0.33,0.55,0,0.0
TRK-356622,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,10,2168,3605.09,0.12,0.13,0,0.0
TRK-560285,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,14,1133,3000.23,0.3,0.41,0,0.0
TRK-891030,Singapore (SG),Port of Los Angeles (US),DHL Express,13,578,3062.82,0.65,0.77,1,6.2
TRK-628373,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,20,242,5331.6,0.46,0.56,1,6.0
TRK-434394,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,6,1037,1904.3,0.17,0.62,0,0.0
TRK-348411,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,18,620,2398.74,0.86,0.07,1,4.3
TRK-331780,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,17,648,4411.04,0.73,0.33,1,4.9
TRK-163918,Yokohama (JP),Port of Oakland (US),DHL Express,27,1738,8075.9,0.89,0.32,1,8.6
TRK-756401,Rotterdam (NL),Port of Seattle (US),Global Freight Air,27,834,8168.06,0.4,0.17,0,0.0
TRK-619696,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,6,1757,2317.66,0.5,0.33,0,0.0
TRK-923975,Yokohama (JP),Port of New York (US),OceanNet Logistics,22,1315,5165.31,0.06,0.52,0,0.0
TRK-528090,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,34,243,8817.37,0.77,0.34,1,9.8
TRK-292811,Singapore (SG),Port of Oakland (US),OceanNet Logistics,18,1590,5086.81,0.36,0.11,0,0.0
TRK-352673,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,19,1113,3429.08,0.34,0.78,1,6.6
TRK-999197,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,17,1072,5330.77,0.3,0.87,1,4.0
TRK-160423,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,10,2432,2652.22,0.65,0.26,0,0.0
TRK-684357,Yokohama (JP),Port of Long Beach (US),OceanNet Logistics,23,1407,7354.29,0.17,0.91,1,5.5
TRK-354655,Hamburg Port (DE),Port of Long Beach (US),FedEx Supply Chain,28,1994,8920.2,0.9,0.33,1,9.1
TRK-778120,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,13,1744,4707.43,0.66,0.28,0,0.0
TRK-196955,Yokohama (JP),Port of Vancouver (CA),DHL Express,31,486,4185.49,0.7,0.48,1,9.5
TRK-154040,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,16,1246,4626.81,0.22,0.7,0,0.0
TRK-732209,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,13,1822,4020.17,0.8,0.8,1,5.9
TRK-943737,Singapore (SG),Port of Oakland (US),Global Freight Air,34,710,8473.62,0.68,0.38,1,9.8
TRK-327558,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,28,1973,8588.55,0.09,0.92,1,7.3
TRK-417915,Shanghai Port (CN),Port of Long Beach (US),DHL Express,8,2394,2492.29,0.9,0.32,1,4.7
TRK-877493,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,33,2051,11225.18,0.25,0.1,0,0.0
TRK-354377,Rotterdam (NL),Port of Oakland (US),DHL Express,19,1359,3822.51,0.2,0.47,0,0.0
TRK-515898,Ningbo-Zhoushan (CN),Port of Oakland (US),FedEx Supply Chain,27,1020,7874.52,0.27,0.12,0,0.0
TRK-913185,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,18,439,4706.81,0.23,0.79,0,0.0
TRK-659572,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,30,1038,5543.07,0.73,0.51,1,7.9
TRK-374267,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,10,1098,2771.97,0.05,0.39,0,0.0
TRK-588640,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,9,1611,3456.77,0.14,0.55,0,0.0
TRK-898625,Singapore (SG),Port of New York (US),DHL Express,26,1562,7676.35,0.84,0.7,1,7.6
TRK-488712,Hamburg Port (DE),Port of Seattle (US),Maersk Line,5,315,964.57,0.12,0.72,0,0.0
TRK-689849,Singapore (SG),Port of Long Beach (US),DHL Express,5,2431,2348.82,0.88,0.15,0,0.0
TRK-117007,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,6,1722,2641.38,0.61,0.12,0,0.0
TRK-707275,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,26,2260,7449.1,0.51,0.83,1,8.7
TRK-259814,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,23,1921,6355.65,0.94,0.48,1,8.8
TRK-498290,Yokohama (JP),Port of Long Beach (US),OceanNet Logistics,12,569,3707.32,0.41,0.83,1,3.7
TRK-677390,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,30,1969,7262.84,0.91,0.16,1,6.6
TRK-369826,Singapore (SG),Port of Seattle (US),OceanNet Logistics,24,2107,7353.02,0.91,0.17,1,6.9
TRK-583214,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,11,182,1547.64,0.25,0.38,0,0.0
TRK-277487,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,33,558,7182.21,0.35,0.15,0,0.0
TRK-612036,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,34,2259,11572.27,0.33,0.66,1,9.1
TRK-649395,Shanghai Port (CN),Port of Los Angeles (US),Maersk Line,28,1401,5936.35,0.34,0.07,0,0.0
TRK-901467,Shanghai Port (CN),Port of Seattle (US),DHL Express,22,2016,6269.43,0.16,0.2,0,0.0
TRK-983472,Rotterdam (NL),Port of Long Beach (US),Maersk Line,5,2366,2961.24,0.45,0.48,0,0.0
TRK-841521,Ningbo-Zhoushan (CN),Port of Los Angeles (US),DHL Express,30,164,6183.15,0.06,0.77,0,0.0
TRK-630299,Shenzhen Port (CN),Port of New York (US),Maersk Line,11,2255,3166.41,0.4,0.54,0,0.0
TRK-747847,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,11,707,2255.94,0.33,0.5,0,0.0
TRK-606676,Rotterdam (NL),Port of Seattle (US),Maersk Line,10,1273,3445.38,0.19,0.54,0,0.0
TRK-106933,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,10,2358,3296.46,0.09,0.3,0,0.0
TRK-112426,Shanghai Port (CN),Port of Oakland (US),FedEx Supply Chain,11,1167,3979.8,0.68,0.82,1,3.5
TRK-661762,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,9,1690,3565.43,0.61,0.48,1,3.8
TRK-952657,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,7,2226,3434.98,0.46,0.53,0,0.0
TRK-945328,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,11,2179,4933.04,0.79,0.56,1,5.0
TRK-649857,Ningbo-Zhoushan (CN),Port of Long Beach (US),DHL Express,10,325,2377.02,0.27,0.43,0,0.0
TRK-749887,Yokohama (JP),Port of New York (US),FedEx Supply Chain,23,1314,5986.56,0.89,0.58,1,7.5
TRK-380310,Singapore (SG),Port of Seattle (US),Maersk Line,34,766,5840.9,0.47,0.48,1,7.7
TRK-491172,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,22,2160,6290.91,0.07,0.67,0,0.0
TRK-355021,Rotterdam (NL),Port of Long Beach (US),FedEx Supply Chain,5,2221,2973.88,0.13,0.23,0,0.0
TRK-817269,Singapore (SG),Port of Los Angeles (US),Maersk Line,28,465,4010.0,0.87,0.06,1,7.1
TRK-198042,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,34,1396,9897.57,0.24,0.72,1,8.0
TRK-679549,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,27,1024,6344.22,0.23,0.2,0,0.0
TRK-836986,Ningbo-Zhoushan (CN),Port of Los Angeles (US),OceanNet Logistics,9,656,1984.11,0.73,0.35,1,5.2
TRK-986392,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,24,658,3785.63,0.28,0.47,0,0.0
TRK-693343,Singapore (SG),Port of Los Angeles (US),Global Freight Air,9,2394,4694.02,0.43,0.36,0,0.0
TRK-144618,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,32,2485,7393.75,0.88,0.55,1,9.1
TRK-598598,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,16,276,3927.14,0.77,0.8,1,7.3
TRK-817675,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,8,1898,2743.23,0.09,0.72,0,0.0
TRK-790077,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,5,1241,2064.86,0.72,0.37,0,0.0
TRK-116418,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,20,247,4903.48,0.54,0.23,0,0.0
TRK-888795,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,11,637,2165.16,0.15,0.53,0,0.0
TRK-180674,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,30,1637,6953.94,0.86,0.52,1,9.6
TRK-352153,Yokohama (JP),Port of Seattle (US),Global Freight Air,28,2429,7067.2,0.1,0.07,0,0.0
TRK-447843,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,27,1202,5596.35,0.17,0.71,0,0.0
TRK-928897,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,24,1822,6850.99,0.68,0.82,1,7.4
TRK-625119,Rotterdam (NL),Port of New York (US),Maersk Line,23,1632,5797.4,0.21,0.15,0,0.0
TRK-202430,Shenzhen Port (CN),Port of Long Beach (US),Maersk Line,24,222,4316.19,0.22,0.55,0,0.0
TRK-457137,Yokohama (JP),Port of Oakland (US),Global Freight Air,23,1897,6740.46,0.13,0.37,0,0.0
TRK-515973,Singapore (SG),Port of New York (US),Maersk Line,9,242,1477.76,0.69,0.53,1,4.4
TRK-764926,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,33,2089,5121.58,0.34,0.55,1,8.6
TRK-339220,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,28,646,4897.02,0.68,0.22,1,5.7
TRK-552825,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,6,733,1734.06,0.78,0.48,1,2.2
TRK-792764,Shenzhen Port (CN),Port of Los Angeles (US),Global Freight Air,14,1520,4675.91,0.86,0.57,1,4.1
TRK-409727,Singapore (SG),Port of Long Beach (US),Maersk Line,16,1204,3516.32,0.35,0.49,0,0.0
TRK-186023,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,29,1125,5878.07,0.52,0.23,0,0.0
TRK-846247,Singapore (SG),Port of Vancouver (CA),DHL Express,24,1235,3732.98,0.44,0.64,1,6.2
TRK-875584,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,25,953,5131.6,0.89,0.88,1,8.8
TRK-211726,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,5,509,1113.06,0.48,0.35,0,0.0
TRK-566339,Hamburg Port (DE),Port of New York (US),Maersk Line,27,1569,6038.3,0.72,0.49,1,6.4
TRK-238943,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,12,1371,2556.86,0.46,0.48,0,0.0
TRK-570646,Yokohama (JP),Port of Oakland (US),Global Freight Air,22,924,6248.74,0.15,0.28,0,0.0
TRK-527865,Shanghai Port (CN),Port of Los Angeles (US),Maersk Line,29,2061,6792.93,0.16,0.08,0,0.0
TRK-471106,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,24,331,3678.07,0.09,0.44,0,0.0
TRK-727094,Singapore (SG),Port of New York (US),OceanNet Logistics,25,2405,5887.64,0.09,0.45,0,0.0
TRK-112940,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,22,1881,5511.23,0.61,0.85,1,6.2
TRK-917018,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,27,535,7630.74,0.56,0.51,1,6.4
TRK-354533,Yokohama (JP),Port of Oakland (US),DHL Express,29,2357,7326.08,0.73,0.3,1,7.0
TRK-818605,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,28,645,5731.34,0.87,0.6,1,8.9
TRK-381981,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,17,1462,5199.85,0.55,0.51,1,3.9
TRK-253023,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,15,1231,4139.5,0.59,0.12,0,0.0
TRK-389366,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,9,2026,4210.37,0.16,0.57,0,0.0
TRK-920685,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,32,428,8617.02,0.63,0.86,1,10.0
TRK-358568,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,25,1301,6274.88,0.65,0.41,1,6.1
TRK-722651,Yokohama (JP),Port of Long Beach (US),OceanNet Logistics,19,1976,4109.67,0.68,0.9,1,8.1
TRK-212168,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,25,1360,7469.78,0.24,0.17,0,0.0
TRK-514913,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,20,1089,4829.5,0.56,0.07,0,0.0
TRK-943135,Singapore (SG),Port of New York (US),OceanNet Logistics,29,2447,8917.42,0.85,0.13,1,7.6
TRK-450996,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,26,383,4073.76,0.89,0.73,1,10.0
TRK-242736,Hamburg Port (DE),Port of New York (US),Global Freight Air,20,669,5800.39,0.3,0.35,0,0.0
TRK-829066,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,28,1323,9320.54,0.08,0.26,0,0.0
TRK-286266,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,19,1896,4209.37,0.23,0.91,1,6.7
TRK-870571,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,20,903,4670.59,0.77,0.44,1,7.2
TRK-703853,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,22,1633,4535.94,0.73,0.4,1,6.6
TRK-494322,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,17,533,3170.21,0.1,0.32,0,0.0
TRK-219420,Yokohama (JP),Port of Long Beach (US),Global Freight Air,14,350,3093.19,0.85,0.19,1,5.0
TRK-672133,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,10,1018,2981.79,0.42,0.5,0,0.0
TRK-128223,Rotterdam (NL),Port of Seattle (US),DHL Express,6,571,1699.34,0.51,0.73,1,2.9
TRK-559753,Singapore (SG),Port of New York (US),Maersk Line,15,788,3930.91,0.77,0.83,1,5.6
TRK-958747,Singapore (SG),Port of Seattle (US),OceanNet Logistics,34,806,5268.05,0.83,0.48,1,8.5
TRK-245939,Rotterdam (NL),Port of New York (US),DHL Express,27,1592,8060.8,0.23,0.79,1,6.8
TRK-364955,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,19,2298,6534.49,0.31,0.47,0,0.0
TRK-927406,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,17,502,2834.99,0.17,0.32,0,0.0
TRK-726979,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,24,118,3835.9,0.2,0.35,0,0.0
TRK-660324,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,6,1829,2721.88,0.49,0.21,0,0.0
TRK-670053,Shanghai Port (CN),Port of New York (US),Global Freight Air,9,1645,4016.83,0.1,0.14,0,0.0
TRK-722665,Rotterdam (NL),Port of Los Angeles (US),Maersk Line,32,980,5291.0,0.09,0.07,0,0.0
TRK-906306,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,9,1801,2730.22,0.56,0.15,0,0.0
TRK-274418,Rotterdam (NL),Port of Oakland (US),Maersk Line,28,545,6119.58,0.48,0.4,1,7.8
TRK-690579,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,5,1194,1771.47,0.88,0.92,1,3.6
TRK-889245,Hamburg Port (DE),Port of Seattle (US),Maersk Line,24,793,4757.91,0.48,0.34,0,0.0
TRK-111060,Shanghai Port (CN),Port of New York (US),DHL Express,29,1728,8553.86,0.58,0.79,1,8.1
TRK-635482,Rotterdam (NL),Port of Oakland (US),Global Freight Air,12,1276,3271.92,0.28,0.33,0,0.0
TRK-708717,Rotterdam (NL),Port of Oakland (US),DHL Express,17,1307,6136.48,0.35,0.56,0,0.0
TRK-567432,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,27,2348,7342.95,0.9,0.13,1,6.2
TRK-909859,Rotterdam (NL),Port of Oakland (US),Global Freight Air,14,414,2026.71,0.28,0.45,0,0.0
TRK-258067,Hamburg Port (DE),Port of Los Angeles (US),OceanNet Logistics,8,1142,3315.05,0.31,0.53,0,0.0
TRK-209627,Hamburg Port (DE),Port of Seattle (US),Maersk Line,21,1674,4151.98,0.93,0.82,1,7.6
TRK-221707,Singapore (SG),Port of Vancouver (CA),DHL Express,28,2432,6929.23,0.68,0.51,1,9.2
TRK-465249,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,16,1333,4699.74,0.2,0.4,0,0.0
TRK-922366,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,19,1411,5588.18,0.49,0.76,1,6.0
TRK-465219,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,23,1488,5153.89,0.25,0.5,0,0.0
TRK-857065,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,19,1950,3664.44,0.51,0.81,1,4.7
TRK-170437,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,32,778,5929.42,0.46,0.88,1,9.5
TRK-123682,Singapore (SG),Port of New York (US),Maersk Line,8,1525,1867.61,0.57,0.7,1,2.7
TRK-810032,Singapore (SG),Port of Long Beach (US),DHL Express,23,693,4377.11,0.86,0.92,1,8.0
TRK-641058,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,16,2341,5435.95,0.3,0.71,0,0.0
TRK-447067,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,10,167,1594.47,0.72,0.09,0,0.0
TRK-343118,Singapore (SG),Port of Seattle (US),DHL Express,14,2280,3805.6,0.74,0.51,1,5.8
TRK-295440,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,19,1089,5605.87,0.41,0.05,0,0.0
TRK-514798,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,23,2142,5966.64,0.11,0.59,0,0.0
TRK-306909,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,30,517,4288.31,0.81,0.46,1,7.7
TRK-507723,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,26,173,3469.55,0.49,0.25,0,0.0
TRK-315780,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,17,1499,3908.25,0.69,0.29,1,5.8
TRK-705393,Shanghai Port (CN),Port of Oakland (US),DHL Express,14,816,3043.9,0.93,0.91,1,6.8
TRK-483561,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,29,968,5255.0,0.29,0.51,0,0.0
TRK-219490,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,12,913,3091.62,0.67,0.33,0,0.0
TRK-653349,Rotterdam (NL),Port of New York (US),Global Freight Air,7,1972,2658.32,0.42,0.35,0,0.0
