tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,supplier_reliability,delayed,actual_delay_days
TRK-520040,Shanghai Port (CN),Port of Oakland (US),Global Freight Air,34,1300,10429.49,0.64,0.46,0.9,1,9.8
TRK-304110,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,32,2457,7832.33,0.74,0.94,0.7,1,12.2
TRK-177103,Shenzhen Port (CN),Port of Oakland (US),OceanNet Logistics,26,184,3772.56,0.42,0.37,0.79,0,0.0
TRK-901535,Yokohama (JP),Port of New York (US),Global Freight Air,27,1018,8119.17,0.36,0.27,0.89,0,0.0
TRK-813449,Yokohama (JP),Port of Los Angeles (US),DHL Express,11,1018,2274.45,0.11,0.79,0.77,0,0.0
TRK-201377,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,11,1173,2892.36,0.35,0.72,0.82,0,0.0
TRK-684929,Hamburg Port (DE),Port of Long Beach (US),DHL Express,25,395,5280.4,0.17,0.29,0.82,0,0.0
TRK-731728,Yokohama (JP),Port of Seattle (US),Global Freight Air,21,127,3582.03,0.06,0.5,0.78,0,0.0
TRK-142210,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,10,1001,2408.75,0.9,0.21,0.84,1,3.0
TRK-848255,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,22,2083,5684.1,0.52,0.86,0.76,1,5.8
TRK-579187,Ningbo-Zhoushan (CN),Port of Oakland (US),Global Freight Air,32,590,5935.44,0.61,0.78,0.88,1,9.3
TRK-246570,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,13,1764,2892.1,0.21,0.76,0.81,0,0.0
TRK-270395,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,29,144,5575.4,0.6,0.12,0.73,0,0.0
TRK-722565,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,14,1133,3000.23,0.3,0.41,0.94,0,0.0
TRK-658198,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,19,615,4846.53,0.77,0.89,0.71,1,6.3
TRK-414353,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,24,1192,5865.25,0.65,0.66,0.97,1,9.4
TRK-447329,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,14,1218,3568.53,0.34,0.1,0.74,0,0.0
TRK-712056,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,15,1734,3780.46,0.24,0.42,0.8,0,0.0
TRK-725905,Shenzhen Port (CN),Port of New York (US),Global Freight Air,32,172,5607.69,0.42,0.24,0.98,0,0.0
TRK-705693,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,11,1274,2763.75,0.85,0.19,0.74,1,4.0
TRK-711868,Shenzhen Port (CN),Port of Long Beach (US),Global Freight Air,27,308,7540.09,0.44,0.62,0.91,1,7.0
TRK-759580,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,7,693,1500.11,0.62,0.41,0.7,0,0.0
TRK-254954,Singapore (SG),Port of Vancouver (CA),DHL Express,34,1490,10174.6,0.79,0.77,0.79,1,12.4
TRK-133104,Yokohama (JP),Port of Vancouver (CA),Maersk Line,18,1590,5086.81,0.36,0.11,0.84,0,0.0
TRK-300051,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,12,1814,2930.34,0.78,0.84,0.79,1,6.8
TRK-539122,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,31,617,8966.2,0.66,0.35,0.85,1,8.9
TRK-530311,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,30,1407,9159.08,0.17,0.91,0.8,1,8.8
TRK-989587,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,34,926,10170.65,0.33,0.82,0.74,1,10.3
TRK-840058,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,12,1435,3880.51,0.62,0.33,0.95,0,0.0
TRK-688132,Hamburg Port (DE),Port of Vancouver (CA),OceanNet Logistics,5,1854,1517.48,0.23,0.79,0.9,0,0.0
TRK-651002,Shenzhen Port (CN),Port of New York (US),DHL Express,5,789,1560.68,0.33,0.48,0.93,0,0.0
TRK-581992,Yokohama (JP),Port of New York (US),Global Freight Air,20,2371,8081.51,0.41,0.47,0.9,0,0.0
TRK-471496,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,33,514,5764.23,0.18,0.6,0.79,0,0.0
TRK-739711,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,22,1458,4334.01,0.83,0.26,0.9,1,7.2
TRK-392559,Yokohama (JP),Port of New York (US),DHL Express,17,1484,5256.54,0.57,0.95,0.96,1,5.5
TRK-412071,Singapore (SG),Port of New York (US),DHL Express,6,1569,1999.75,0.2,0.2,0.83,0,0.0
TRK-823769,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,27,1020,7874.52,0.27,0.12,0.89,0,0.0
TRK-603110,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,28,439,7162.91,0.23,0.79,0.89,1,7.2
TRK-401769,Shanghai Port (CN),Port of Oakland (US),Global Freight Air,21,947,5514.75,0.51,0.34,0.87,0,0.0
TRK-498138,Shenzhen Port (CN),Port of New York (US),DHL Express,11,2472,2550.55,0.39,0.56,0.84,0,0.0
TRK-404561,Shanghai Port (CN),Port of New York (US),Maersk Line,14,1957,4219.28,0.81,0.72,0.75,1,4.6
TRK-463188,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,18,1732,6459.28,0.44,0.16,0.85,0,0.0
TRK-883641,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,22,1806,6870.75,0.26,0.72,0.97,0,0.0
TRK-968170,Yokohama (JP),Port of New York (US),Global Freight Air,34,1587,8908.9,0.3,0.61,0.72,1,8.4
TRK-829988,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,21,328,5554.56,0.84,0.75,0.89,1,6.2
TRK-745584,Rotterdam (NL),Port of Oakland (US),DHL Express,6,925,1760.12,0.34,0.56,0.78,0,0.0
TRK-354235,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,30,292,5832.4,0.83,0.29,0.86,1,9.9
TRK-336633,Rotterdam (NL),Port of Long Beach (US),Maersk Line,19,1967,4925.03,0.07,0.86,0.72,0,0.0
TRK-205065,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,12,340,2601.42,0.22,0.44,0.72,0,0.0
TRK-205428,Rotterdam (NL),Port of Long Beach (US),Maersk Line,32,710,6508.4,0.93,0.78,0.91,1,11.5
TRK-677086,Ningbo-Zhoushan (CN),Port of Seattle (US),OceanNet Logistics,5,1666,2120.67,0.94,0.33,0.9,1,4.9
TRK-600641,Rotterdam (NL),Port of Long Beach (US),FedEx Supply Chain,28,1401,5936.35,0.34,0.07,0.92,0,0.0
TRK-436768,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,5,919,1679.56,0.2,0.48,0.91,0,0.0
TRK-906066,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,20,591,4339.95,0.24,0.15,0.94,0,0.0
TRK-343500,Yokohama (JP),Port of Vancouver (CA),Maersk Line,15,634,4003.45,0.5,0.84,0.98,1,6.5
TRK-283568,Shenzhen Port (CN),Port of Long Beach (US),Maersk Line,20,426,4989.17,0.22,0.45,0.94,0,0.0
TRK-976822,Shenzhen Port (CN),Port of Seattle (US),DHL Express,26,228,5486.45,0.13,0.39,0.82,0,0.0
TRK-885386,Singapore (SG),Port of New York (US),Maersk Line,27,1533,5056.1,0.92,0.71,0.9,1,10.9
TRK-109717,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,31,284,6479.76,0.8,0.51,0.88,1,9.5
TRK-212512,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,33,2226,9189.36,0.46,0.53,0.92,1,9.7
TRK-772464,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,22,2026,6703.14,0.65,0.88,0.88,1,9.0
TRK-240718,Singapore (SG),Port of Oakland (US),OceanNet Logistics,34,1863,6838.19,0.43,0.92,0.89,1,10.5
TRK-386090,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,16,155,3391.89,0.73,0.69,0.76,1,6.1
TRK-270387,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,30,229,6222.54,0.42,0.23,0.82,0,0.0
TRK-853504,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,30,1092,8239.96,0.37,0.13,0.76,0,0.0
TRK-929179,Hamburg Port (DE),Port of Oakland (US),DHL Express,28,465,4010.0,0.87,0.06,0.84,1,6.2
TRK-284019,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,13,1396,4132.37,0.24,0.72,0.86,0,0.0
TRK-967161,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,27,1024,6344.22,0.23,0.2,0.97,0,0.0
TRK-190951,Shenzhen Port (CN),Port of Vancouver (CA),Maersk Line,22,1652,6311.53,0.35,0.91,0.91,1,7.3
TRK-293757,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,15,2412,4320.68,0.24,0.84,0.73,1,5.2
TRK-360096,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,30,253,6722.52,0.8,0.22,0.97,1,8.3
TRK-346961,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,16,276,3927.14,0.77,0.8,0.99,1,7.4
TRK-416613,Yokohama (JP),Port of Vancouver (CA),Global Freight Air,26,1898,6471.67,0.09,0.72,0.83,0,0.0
TRK-111991,Hamburg Port (DE),Port of Vancouver (CA),FedEx Supply Chain,29,1241,6674.2,0.72,0.37,0.88,1,7.1
TRK-826420,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,13,1457,3104.03,0.31,0.72,0.84,0,0.0
TRK-588002,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,7,1559,2459.99,0.6,0.78,0.79,1,5.7
TRK-819400,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,5,1851,2793.06,0.51,0.44,0.72,0,0.0
TRK-823821,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,14,1580,3359.7,0.4,0.17,0.91,0,0.0
TRK-485397,Yokohama (JP),Port of Long Beach (US),DHL Express,24,1822,6850.99,0.68,0.82,0.82,1,7.7
TRK-240057,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,16,1632,4400.47,0.21,0.15,0.94,0,0.0
TRK-884056,Yokohama (JP),Port of New York (US),OceanNet Logistics,26,1857,4956.68,0.55,0.58,0.76,1,8.9
TRK-836038,Yokohama (JP),Port of Seattle (US),Global Freight Air,9,915,2598.04,0.3,0.79,0.91,0,0.0
TRK-940952,Rotterdam (NL),Port of Long Beach (US),DHL Express,25,1132,4752.17,0.24,0.09,0.79,0,0.0
TRK-813390,Singapore (SG),Port of Oakland (US),Maersk Line,15,521,3955.51,0.44,0.91,0.91,1,7.2
TRK-651033,Shenzhen Port (CN),Port of Oakland (US),FedEx Supply Chain,16,2266,3179.08,0.7,0.16,0.79,0,0.0
TRK-181896,Yokohama (JP),Port of Los Angeles (US),Maersk Line,23,970,4167.76,0.39,0.61,0.98,0,0.0
TRK-969032,Yokohama (JP),Port of Oakland (US),DHL Express,9,118,2310.51,0.58,0.22,0.89,0,0.0
TRK-700521,Yokohama (JP),Port of Long Beach (US),DHL Express,29,1125,5878.07,0.52,0.23,0.93,0,0.0
TRK-444056,Singapore (SG),Port of Oakland (US),OceanNet Logistics,12,973,3350.44,0.44,0.3,0.86,0,0.0
TRK-221886,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,22,577,6543.31,0.5,0.35,0.91,0,0.0
TRK-612573,Shanghai Port (CN),Port of Oakland (US),OceanNet Logistics,26,1679,7588.98,0.09,0.09,0.88,0,0.0
TRK-947975,Shanghai Port (CN),Port of Seattle (US),DHL Express,10,1019,2845.4,0.35,0.21,0.78,0,0.0
TRK-638179,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,11,2107,4176.39,0.73,0.46,0.95,1,3.3
TRK-160541,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,14,209,2743.35,0.93,0.47,0.93,1,5.3
TRK-858414,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,12,2017,4058.54,0.54,0.9,0.77,1,3.9
TRK-956113,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,9,695,2382.02,0.56,0.35,0.79,0,0.0
TRK-706403,Shanghai Port (CN),Port of Los Angeles (US),OceanNet Logistics,33,1665,5481.77,0.74,0.92,0.98,1,12.6
TRK-461264,Rotterdam (NL),Port of Los Angeles (US),Global Freight Air,19,624,3718.5,0.62,0.46,0.84,1,7.0
TRK-163182,Shanghai Port (CN),Port of Seattle (US),Maersk Line,26,1843,7984.1,0.1,0.49,0.96,0,0.0
TRK-401036,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,9,1537,2014.56,0.25,0.51,0.73,0,0.0
TRK-903028,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,16,1231,4319.82,0.59,0.12,0.9,0,0.0
TRK-492650,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,30,1327,6883.0,0.74,0.42,0.96,1,9.1
TRK-493892,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,14,1292,2857.85,0.23,0.87,0.92,0,0.0
TRK-239449,Rotterdam (NL),Port of New York (US),Maersk Line,7,354,1312.29,0.39,0.24,0.9,0,0.0
TRK-287143,Yokohama (JP),Port of Seattle (US),Global Freight Air,33,520,6959.24,0.28,0.45,0.95,0,0.0
TRK-233533,Rotterdam (NL),Port of Long Beach (US),Maersk Line,17,762,3849.6,0.94,0.8,0.93,1,6.4
TRK-892911,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,16,1725,5955.76,0.13,0.53,0.96,0,0.0
TRK-806215,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,26,383,4073.76,0.89,0.73,0.97,1,9.8
TRK-657772,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,18,1165,4735.74,0.24,0.61,0.97,0,0.0
TRK-583000,Hamburg Port (DE),Port of Long Beach (US),FedEx Supply Chain,23,1806,7298.47,0.11,0.4,0.78,0,0.0
TRK-297636,Rotterdam (NL),Port of Los Angeles (US),Maersk Line,16,1113,4883.08,0.7,0.93,0.81,1,7.6
TRK-948799,Rotterdam (NL),Port of Seattle (US),Global Freight Air,7,672,2380.74,0.54,0.64,0.78,1,4.3
TRK-903265,Shanghai Port (CN),Port of Long Beach (US),DHL Express,33,528,5753.8,0.88,0.26,0.78,1,9.1
TRK-170559,Shanghai Port (CN),Port of Oakland (US),Maersk Line,30,350,6506.46,0.85,0.19,0.87,1,8.9
TRK-568127,Yokohama (JP),Port of Vancouver (CA),Maersk Line,26,532,5830.52,0.28,0.89,0.74,1,8.8
TRK-356622,Rotterdam (NL),Port of Los Angeles (US),OceanNet Logistics,19,1026,4212.42,0.51,0.82,0.84,1,6.1
TRK-560285,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,29,1584,7296.66,0.48,0.4,0.98,0,0.0
TRK-891030,Singapore (SG),Port of Los Angeles (US),DHL Express,26,1237,6442.49,0.11,0.54,0.82,0,0.0
TRK-628373,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,16,306,3032.8,0.41,0.5,0.94,0,0.0
TRK-434394,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,23,513,3834.48,0.51,0.69,0.98,1,6.0
TRK-348411,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,29,1240,8543.2,0.36,0.94,0.84,1,7.7
TRK-331780,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,9,1645,4016.83,0.1,0.14,0.91,0,0.0
TRK-163918,Yokohama (JP),Port of Oakland (US),DHL Express,11,184,1639.29,0.09,0.07,0.75,0,0.0
TRK-756401,Rotterdam (NL),Port of Seattle (US),Global Freight Air,24,1801,5226.84,0.56,0.15,0.88,0,0.0
TRK-619696,Shanghai Port (CN),Port of New York (US),OceanNet Logistics,34,2368,11821.25,0.28,0.51,0.96,0,0.0
TRK-923975,Yokohama (JP),Port of New York (US),OceanNet Logistics,11,2366,4925.35,0.92,0.51,0.83,1,4.3
TRK-528090,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,32,1912,6817.86,0.3,0.41,0.99,0,0.0
TRK-292811,Singapore (SG),Port of Oakland (US),OceanNet Logistics,7,376,1575.38,0.71,0.37,0.72,1,2.4
TRK-352673,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,16,2256,5556.8,0.69,0.4,0.78,1,5.0
TRK-999197,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,13,948,4310.36,0.66,0.56,0.88,1,6.7
TRK-160423,Yokohama (JP),Port of Seattle (US),OceanNet Logistics,13,1140,2982.05,0.67,0.72,0.76,1,6.7
TRK-684357,Yokohama (JP),Port of Long Beach (US),OceanNet Logistics,26,1204,4833.97,0.1,0.17,0.72,0,0.0
TRK-354655,Hamburg Port (DE),Port of Long Beach (US),FedEx Supply Chain,8,2432,2789.11,0.68,0.51,0.99,1,4.5
TRK-778120,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,21,897,3974.99,0.4,0.36,0.83,0,0.0
TRK-196955,Yokohama (JP),Port of Vancouver (CA),DHL Express,19,2047,6147.1,0.57,0.36,0.93,0,0.0
TRK-154040,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,5,2256,2453.93,0.06,0.63,0.85,0,0.0
TRK-732209,Shanghai Port (CN),Port of Los Angeles (US),DHL Express,22,2003,6991.37,0.83,0.18,0.87,1,7.8
TRK-943737,Singapore (SG),Port of Oakland (US),Global Freight Air,26,1602,6160.95,0.13,0.46,0.81,0,0.0
TRK-327558,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,31,1378,7579.18,0.51,0.67,0.94,1,8.2
TRK-417915,Shanghai Port (CN),Port of Long Beach (US),DHL Express,32,2341,9116.64,0.3,0.71,0.71,1,7.0
TRK-877493,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,28,2364,6158.87,0.49,0.34,0.76,0,0.0
TRK-354377,Rotterdam (NL),Port of Oakland (US),DHL Express,10,1007,3190.53,0.52,0.63,0.93,1,4.1
TRK-515898,Ningbo-Zhoushan (CN),Port of Oakland (US),FedEx Supply Chain,13,1602,4046.29,0.5,0.06,0.84,0,0.0
TRK-913185,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,17,413,3327.97,0.67,0.78,0.82,1,5.8
TRK-659572,Rotterdam (NL),Port of New York (US),FedEx Supply Chain,7,2361,3082.36,0.11,0.49,0.76,0,0.0
TRK-374267,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,17,1499,3908.25,0.69,0.29,0.92,0,0.0
TRK-588640,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,14,816,3043.9,0.93,0.91,0.93,1,5.5
TRK-898625,Singapore (SG),Port of New York (US),DHL Express,12,787,2385.93,0.51,0.75,0.95,1,6.1
TRK-488712,Hamburg Port (DE),Port of Seattle (US),Maersk Line,31,2409,7446.68,0.1,0.68,0.7,0,0.0
TRK-689849,Singapore (SG),Port of Long Beach (US),DHL Express,24,165,5635.45,0.74,0.32,0.94,1,6.3
TRK-117007,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,30,827,8610.08,0.1,0.14,0.87,0,0.0
TRK-707275,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,17,1243,3970.8,0.44,0.56,0.7,1,4.7
TRK-259814,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,30,622,5018.21,0.54,0.69,0.83,1,7.3
TRK-498290,Yokohama (JP),Port of Long Beach (US),OceanNet Logistics,17,938,5067.31,0.16,0.64,0.72,0,0.0
TRK-677390,Rotterdam (NL),Port of Vancouver (CA),FedEx Supply Chain,20,1674,7070.54,0.69,0.15,0.93,0,0.0
TRK-369826,Singapore (SG),Port of Seattle (US),OceanNet Logistics,6,2361,3140.84,0.08,0.5,0.92,0,0.0
TRK-583214,Ningbo-Zhoushan (CN),Port of Vancouver (CA),FedEx Supply Chain,5,1749,1943.23,0.63,0.12,0.83,0,0.0
TRK-277487,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,14,1714,3875.02,0.77,0.2,0.73,0,0.0
TRK-612036,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,7,2497,3345.52,0.87,0.44,0.74,1,5.0
TRK-649395,Shanghai Port (CN),Port of Los Angeles (US),Maersk Line,33,1982,8331.63,0.25,0.45,0.96,0,0.0
TRK-901467,Shanghai Port (CN),Port of Seattle (US),DHL Express,31,570,9115.82,0.46,0.51,0.87,1,9.6
TRK-983472,Rotterdam (NL),Port of Long Beach (US),Maersk Line,26,736,5240.2,0.47,0.76,0.87,1,8.4
TRK-841521,Ningbo-Zhoushan (CN),Port of Los Angeles (US),DHL Express,10,1565,2059.51,0.42,0.36,0.71,0,0.0
TRK-630299,Shenzhen Port (CN),Port of New York (US),Maersk Line,8,1234,2854.77,0.17,0.64,0.98,0,0.0
TRK-747847,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,29,695,5361.17,0.79,0.68,0.83,1,8.1
TRK-606676,Rotterdam (NL),Port of Seattle (US),Maersk Line,6,1311,2933.53,0.3,0.41,0.97,0,0.0
TRK-106933,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,19,788,5223.31,0.79,0.72,0.9,1,6.4
TRK-112426,Shanghai Port (CN),Port of Oakland (US),FedEx Supply Chain,30,1707,7784.35,0.14,0.06,0.74,0,0.0
TRK-661762,Hamburg Port (DE),Port of Los Angeles (US),Global Freight Air,19,962,6398.05,0.49,0.83,0.91,1,6.5
TRK-952657,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,34,457,9329.97,0.27,0.55,0.76,0,0.0
TRK-945328,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,25,299,6615.58,0.73,0.09,0.94,0,0.0
TRK-649857,Ningbo-Zhoushan (CN),Port of Long Beach (US),DHL Express,22,1372,5720.48,0.67,0.73,0.91,1,8.8
TRK-749887,Yokohama (JP),Port of New York (US),FedEx Supply Chain,17,648,3835.9,0.81,0.07,0.71,0,0.0
TRK-380310,Singapore (SG),Port of Seattle (US),Maersk Line,10,258,1988.14,0.36,0.59,0.78,0,0.0
TRK-491172,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,30,1664,8181.37,0.57,0.72,0.9,1,8.0
TRK-355021,Rotterdam (NL),Port of Long Beach (US),FedEx Supply Chain,8,382,1698.74,0.73,0.61,0.72,1,4.4
TRK-817269,Singapore (SG),Port of Los Angeles (US),Maersk Line,29,1817,7295.88,0.34,0.75,0.72,1,8.7
TRK-198042,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,6,2351,3287.83,0.91,0.32,0.71,1,3.6
TRK-679549,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,25,727,4680.26,0.76,0.75,0.76,1,9.2
TRK-836986,Ningbo-Zhoushan (CN),Port of Los Angeles (US),OceanNet Logistics,17,1581,4936.88,0.87,0.18,0.89,1,4.7
TRK-986392,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,20,1394,5553.36,0.73,0.33,0.83,1,5.9
TRK-693343,Singapore (SG),Port of Los Angeles (US),Global Freight Air,14,1198,2972.5,0.37,0.56,0.77,0,0.0
TRK-144618,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,7,2154,3396.95,0.9,0.24,0.88,1,3.0
TRK-598598,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,24,775,5214.01,0.47,0.11,0.94,0,0.0
TRK-817675,Hamburg Port (DE),Port of Oakland (US),Global Freight Air,8,2140,3322.05,0.51,0.15,0.82,0,0.0
TRK-790077,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,28,718,7803.2,0.54,0.13,0.77,0,0.0
TRK-116418,Ningbo-Zhoushan (CN),Port of Oakland (US),DHL Express,22,1587,5916.71,0.66,0.66,0.88,1,6.5
TRK-888795,Singapore (SG),Port of Vancouver (CA),OceanNet Logistics,26,701,7305.09,0.56,0.8,0.99,1,7.1
TRK-180674,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,24,275,6887.94,0.94,0.67,0.77,1,9.9
TRK-352153,Yokohama (JP),Port of Seattle (US),Global Freight Air,23,2358,8276.44,0.45,0.49,0.76,1,5.0
TRK-447843,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,9,605,3124.0,0.21,0.84,0.91,0,0.0
TRK-928897,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,5,199,1032.44,0.05,0.2,0.8,0,0.0
TRK-625119,Rotterdam (NL),Port of New York (US),Maersk Line,10,731,3021.21,0.32,0.46,0.73,0,0.0
TRK-202430,Shenzhen Port (CN),Port of Long Beach (US),Maersk Line,11,819,3977.01,0.83,0.21,0.71,1,4.9
TRK-457137,Yokohama (JP),Port of Oakland (US),Global Freight Air,30,2402,4639.0,0.77,0.12,0.82,1,8.4
TRK-515973,Singapore (SG),Port of New York (US),Maersk Line,24,619,6383.69,0.17,0.93,0.98,1,5.7
TRK-764926,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,34,678,5792.15,0.78,0.39,0.73,1,9.4
TRK-339220,Hamburg Port (DE),Port of Oakland (US),OceanNet Logistics,34,614,6864.71,0.2,0.94,0.94,1,8.4
TRK-552825,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,33,908,8595.63,0.76,0.27,0.79,1,9.0
TRK-792764,Shenzhen Port (CN),Port of Los Angeles (US),Global Freight Air,14,1453,3443.17,0.38,0.62,0.72,0,0.0
TRK-409727,Singapore (SG),Port of Long Beach (US),Maersk Line,10,985,3540.65,0.48,0.78,0.83,1,5.6
TRK-186023,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,30,2132,6775.29,0.87,0.19,0.88,1,6.8
TRK-846247,Singapore (SG),Port of Vancouver (CA),DHL Express,16,377,3264.68,0.36,0.21,0.88,0,0.0
TRK-875584,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,6,924,1977.54,0.7,0.65,0.8,1,2.2
TRK-211726,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,23,1022,5193.59,0.46,0.52,0.7,1,6.4
TRK-566339,Hamburg Port (DE),Port of New York (US),Maersk Line,13,328,2354.84,0.78,0.58,0.76,1,4.5
TRK-238943,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,32,2008,8053.21,0.28,0.83,0.89,1,8.5
TRK-570646,Yokohama (JP),Port of Oakland (US),Global Freight Air,15,117,3356.28,0.37,0.95,0.84,1,5.6
TRK-527865,Shanghai Port (CN),Port of Los Angeles (US),Maersk Line,10,1492,4251.79,0.05,0.58,0.91,0,0.0
TRK-471106,Yokohama (JP),Port of Los Angeles (US),Global Freight Air,32,1908,6416.52,0.87,0.35,0.98,1,9.5
TRK-727094,Singapore (SG),Port of New York (US),OceanNet Logistics,7,1401,2897.62,0.18,0.89,0.83,0,0.0
TRK-112940,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,14,1624,2666.33,0.47,0.82,0.97,1,6.9
TRK-917018,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,7,841,1387.11,0.82,0.37,0.88,1,4.7
TRK-354533,Yokohama (JP),Port of Oakland (US),DHL Express,22,714,6413.35,0.92,0.31,0.84,1,8.8
TRK-818605,Shenzhen Port (CN),Port of Long Beach (US),DHL Express,32,1698,5444.53,0.51,0.07,0.82,0,0.0
TRK-381981,Hamburg Port (DE),Port of New York (US),OceanNet Logistics,28,1529,7873.98,0.24,0.27,0.78,0,0.0
